Context,Mol_L,Frag_L,Mol_R,Frag_R,Radius
[*]CS(=O)(=O)NN1C[C@H](c2ccc(OC)cc2)N(CCc2ccc(OC)cc2)C1=O,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1,[CH3][N]([CH3])[NH][S]([CH3])(=[O])=[O],COc1ccc(CCN2C(=O)N(NS(=O)(=O)CC#N)C[C@@H]2c2ccc(OC)cc2)cc1,[CH3][N]([CH3])[NH][S](=[O])(=[O])[CH2][C]#[N],4
[*]CS(=O)(=O)NN1C[C@H](c2ccc(OC)cc2)N(CCc2ccc(OC)cc2)C1=O,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1,[CH3][S](=[O])(=[O])[NH][NH2],COc1ccc(CCN2C(=O)N(NS(=O)(=O)CC#N)C[C@@H]2c2ccc(OC)cc2)cc1,[N]#[C][CH2][S](=[O])(=[O])[NH][NH2],3
[*]CS(=O)(=O)NN1C[C@H](c2ccc(OC)cc2)N(CCc2ccc(OC)cc2)C1=O,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1,[CH3][S]([NH2])(=[O])=[O],COc1ccc(CCN2C(=O)N(NS(=O)(=O)CC#N)C[C@@H]2c2ccc(OC)cc2)cc1,[N]#[C][CH2][S]([NH2])(=[O])=[O],2
[*]CS(=O)(=O)NN1C[C@H](c2ccc(OC)cc2)N(CCc2ccc(OC)cc2)C1=O,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1,[CH3][SH],COc1ccc(CCN2C(=O)N(NS(=O)(=O)CC#N)C[C@@H]2c2ccc(OC)cc2)cc1,[N]#[C][CH2][SH],1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cncnc3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][n][cH][n][cH]1,Cc1nc(C)c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cc1C(N)=O,[cH2][cH][c]([n][cH2])-[c]1[cH][c]([C]([NH2])=[O])[c]([CH3])[n][c]1[CH3],4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cncnc3)ccc2c1,[cH2][c]([nH])-[c]1[cH][n][cH][n][cH]1,Cc1nc(C)c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cc1C(N)=O,[cH2][c]([nH])-[c]1[cH][c]([C]([NH2])=[O])[c]([CH3])[n][c]1[CH3],3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cncnc3)ccc2c1,[cH3]-[c]1[cH][n][cH][n][cH]1,Cc1nc(C)c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cc1C(N)=O,[cH3]-[c]1[cH][c]([C]([NH2])=[O])[c]([CH3])[n][c]1[CH3],2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3cncnc3)ccc2c1,[cH]1[cH][n][cH][n][cH]1,Cc1nc(C)c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cc1C(N)=O,[CH3][c]1[cH][cH][c]([C]([NH2])=[O])[c]([CH3])[n]1,1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4ccccc4)n3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][s][c](-[c]2[cH][cH][cH][cH][cH]2)[n]1,Cc1cc2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c(C)n2n1,[cH2][cH][c]([n][cH2])-[c]1[cH][n][c]2[cH][c]([CH3])[n][n]2[c]1[CH3],4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4ccccc4)n3)ccc2c1,[cH2][c]([nH])-[c]1[cH][s][c](-[c]2[cH][cH][cH][cH][cH]2)[n]1,Cc1cc2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c(C)n2n1,[cH2][c]([nH])-[c]1[cH][n][c]2[cH][c]([CH3])[n][n]2[c]1[CH3],3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4ccccc4)n3)ccc2c1,[cH3]-[c]1[cH][s][c](-[c]2[cH][cH][cH][cH][cH]2)[n]1,Cc1cc2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c(C)n2n1,[CH3][c]1[cH][c]2[n][cH][c](-[cH3])[c]([CH3])[n]2[n]1,2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4ccccc4)n3)ccc2c1,[cH]1[cH][cH][c](-[c]2[n][cH][cH][s]2)[cH][cH]1,Cc1cc2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c(C)n2n1,[CH3][c]1[cH][c]2[n][cH][cH][c]([CH3])[n]2[n]1,1
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3c(Cl)n(C)nc3-c3ccccc3)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[c](-[c]2[cH][cH][cH][cH][cH]2)[n][n]([CH3])[c]1[Cl],C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4c(c3)COCO4)ccc2c1,[cH2][cH][c]([n][cH2])-[c]1[cH][cH][c]2[c]([cH]1)[CH2][O][CH2][O]2,4
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3c(Cl)n(C)nc3-c3ccccc3)ccc2c1,[cH2][c]([nH])-[c]1[c](-[c]2[cH][cH][cH][cH][cH]2)[n][n]([CH3])[c]1[Cl],C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4c(c3)COCO4)ccc2c1,[cH2][c]([nH])-[c]1[cH][cH][c]2[c]([cH]1)[CH2][O][CH2][O]2,3
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3c(Cl)n(C)nc3-c3ccccc3)ccc2c1,[cH3]-[c]1[c](-[c]2[cH][cH][cH][cH][cH]2)[n][n]([CH3])[c]1[Cl],C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4c(c3)COCO4)ccc2c1,[cH3]-[c]1[cH][cH][c]2[c]([cH]1)[CH2][O][CH2][O]2,2
[*]c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,C[C@@H]1CCCN1CCc1ccc2nc(-c3c(Cl)n(C)nc3-c3ccccc3)ccc2c1,[CH3][n]1[n][c](-[c]2[cH][cH][cH][cH][cH]2)[cH][c]1[Cl],C[C@@H]1CCCN1CCc1ccc2nc(-c3ccc4c(c3)COCO4)ccc2c1,[cH]1[cH][cH][c]2[c]([cH]1)[CH2][O][CH2][O]2,1
[*]C(=O)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CC(N2CCCOCC2)C1,[CH3][NH][C](=[O])[N]1[CH2][CH]([N]2[CH2][CH2][CH2][O][CH2][CH2]2)[CH2]1,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCCC(C(=O)N2CCCC2)C1,[CH3][NH][C](=[O])[N]1[CH2][CH2][CH2][CH]([C](=[O])[N]2[CH2][CH2][CH2][CH2]2)[CH2]1,4
